,Quarter,Tm,Detail,CLE,PHI
0,1.0,Browns,Milt Plum 10 yard rush (Lou Groza kick),7,0
1,1.0,Eagles,Tommy McDonald 26 yard pass from Norm Van Brocklin (Bobby Walston kick),7,7
2,1.0,Browns,Milt Plum 1 yard rush (Lou Groza kick),14,7
3,2.0,Eagles,Tommy McDonald 4 yard pass from Billy Ray Barnes (Bobby Walston kick),14,14
4,3.0,Browns,Ray Renfro 48 yard pass from Milt Plum (Lou Groza kick),21,14
