,Quarter,Tm,Detail,GNB,TAM
0,1.0,Packers,Sterling Sharpe 21 yard pass from Don Majkowski (Chris Jacke kick),7,0
1,2.0,Buccaneers,Donald Igwebuike 49 yard field goal,7,3
2,3.0,Buccaneers,Donald Igwebuike 40 yard field goal,7,6
3,4.0,Buccaneers,Sylvester Stamps 21 yard rush (Donald Igwebuike kick),7,13
4,4.0,Packers,Sterling Sharpe 55 yard pass from Don Majkowski (Don Bracken kick),14,13
5,4.0,Buccaneers,Donald Igwebuike 36 yard field goal,14,16
6,4.0,Packers,Chris Jacke 47 yard field goal,17,16
