,Quarter,Tm,Detail,ATL,MIN
0,1.0,Falcons,Lynn Cain 3 yard rush,6,0
1,1.0,Vikings,Sammy White 24 yard pass from Tommy Kramer (Rick Danmeier kick),6,7
2,2.0,Vikings,Joe Senser 4 yard pass from Tommy Kramer (Rick Danmeier kick),6,14
3,3.0,Vikings,Bob Tucker 4 yard pass from Tommy Kramer (Rick Danmeier kick),6,21
4,3.0,Falcons,Alfred Jenkins 46 yard pass from Steve Bartkowski (Tim Mazzetti kick),13,21
5,4.0,Falcons,Alfred Jackson 19 yard pass from Steve Bartkowski (Tim Mazzetti kick),20,21
6,4.0,Falcons,Tim Mazzetti 23 yard field goal,23,21
7,4.0,Vikings,Rick Danmeier 27 yard field goal,23,24
