,Quarter,Tm,Detail,CIN,HOU
0,1.0,Bengals,Chris Bahr 28 yard field goal,3,0
1,2.0,Bengals,Chris Bahr 27 yard field goal,6,0
2,2.0,Oilers,Ronnie Coleman 1 yard rush (Tom Dempsey kick),6,7
3,2.0,Oilers,Billy Johnson 17 yard pass from Dan Pastorini,6,13
4,3.0,Oilers,"Safety, Anderson tackled in end zone",6,15
5,4.0,Bengals,Pat McInally 11 yard pass from Ken Anderson (Chris Bahr kick),13,15
6,4.0,Oilers,Tom Dempsey 27 yard field goal,13,18
7,4.0,Oilers,Tom Dempsey 26 yard field goal,13,21
8,4.0,Bengals,Chris Bahr 24 yard field goal,16,21
