,Quarter,Tm,Detail,CIN,KAN
0,1.0,Chiefs,Nick Lowery 37 yard field goal,0,3
1,1.0,Bengals,Ickey Woods 4 yard rush (Jim Breech kick),7,3
2,1.0,Chiefs,Nick Lowery 35 yard field goal,7,6
3,2.0,Chiefs,Nick Lowery 23 yard field goal,7,9
4,2.0,Bengals,Stanley Wilson 5 yard rush (Jim Breech kick),14,9
5,3.0,Bengals,Boomer Esiason 5 yard rush (Jim Breech kick),21,9
6,3.0,Chiefs,Stephone Paige 17 yard pass from Steve DeBerg (Nick Lowery kick),21,16
7,3.0,Bengals,Stanford Jennings 98 yard kickoff return (Jim Breech kick),28,16
8,3.0,Chiefs,Nick Lowery 47 yard field goal,28,19
9,4.0,Chiefs,"Safety, Lewis blocked punt out of end zone",28,21
10,4.0,Chiefs,Christian Okoye 1 yard rush (Nick Lowery kick),28,28
11,4.0,Chiefs,Nick Lowery 39 yard field goal,28,31
