,Quarter,Tm,Detail,NOR,OAK
0,1.0,Raiders,Marv Hubbard 6 yard rush (George Blanda kick),0,7
1,1.0,Saints,Rich Szaro 30 yard field goal,3,7
2,2.0,Raiders,Clarence Davis 5 yard rush (George Blanda kick),3,14
3,2.0,Raiders,Morris Bradshaw 36 yard pass from Ken Stabler (George Blanda kick),3,21
4,3.0,Raiders,Pete Banaszak 1 yard rush (George Blanda kick),3,28
5,3.0,Raiders,Clarence Davis 13 yard rush,3,34
6,3.0,Raiders,Morris Bradshaw 48 yard pass from Ken Stabler (George Blanda kick),3,41
7,4.0,Saints,Joel Parker 32 yard pass from Archie Manning (Rich Szaro kick),10,41
8,4.0,Raiders,Warren Bankston 8 yard pass from David Humm (George Blanda kick),10,48
