,Quarter,Time,Tm,Detail,NWE,NYJ
0,1.0,6:50,Patriots,Stephen Gostkowski 45 yard field goal,3,0
1,2.0,11:30,Patriots,Stephen Gostkowski 25 yard field goal,6,0
2,2.0,5:59,Jets,Jay Feely 33 yard field goal,6,3
3,2.0,0:17,Patriots,Stephen Gostkowski 29 yard field goal,9,3
4,3.0,13:57,Jets,Dustin Keller 9 yard pass from Mark Sanchez (Jay Feely kick),9,10
5,3.0,8:22,Jets,Jay Feely 24 yard field goal,9,13
6,4.0,9:48,Jets,Jay Feely 39 yard field goal,9,16
