,Quarter,Tm,Detail,WAS,GNB
0,1.0,Packers,Phil Epps 3 yard pass from Randy Wright (Al Del Greco kick),0,7
1,1.0,Redskins,Ricky Sanders 26 yard pass from Jay Schroeder,6,7
2,3.0,Redskins,Kelvin Bryant 6 yard pass from Jay Schroeder (Max Zendejas kick),13,7
3,4.0,Redskins,Max Zendejas 30 yard field goal,16,7
