,Quarter,Time,Tm,Detail,SEA,SDG
0,1.0,,Chargers,Tony Martin 2 yard pass from Stan Humphries (John Carney kick),0,7
1,2.0,,Seahawks,Rick Mirer 6 yard rush (Todd Peterson kick),7,7
2,2.0,,Chargers,John Carney 35 yard field goal,7,10
3,2.0,,Chargers,John Carney 53 yard field goal,7,13
4,3.0,,Chargers,John Carney 22 yard field goal,7,16
5,4.0,,Chargers,John Carney 50 yard field goal,7,19
6,4.0,,Chargers,Leonard Russell 6 yard rush (John Carney kick),7,26
7,4.0,,Chargers,John Carney 31 yard field goal,7,29
