,Quarter,Time,Tm,Detail,DAL,CHI
0,1.0,,Cowboys,Chris Boniol 28 yard field goal,3,0
1,2.0,,Bears,Raymont Harris 33 yard pass from Curtis Conway (Carlos Huerta kick),3,7
2,2.0,,Bears,Carlos Huerta 31 yard field goal,3,10
3,4.0,,Bears,Carlos Huerta 42 yard field goal,3,13
4,4.0,,Bears,Carlos Huerta 34 yard field goal,3,16
5,4.0,,Bears,Bryan Cox defensive fumble recovery in end zone (pass failed),3,22
6,4.0,,Cowboys,Chris Boniol 28 yard field goal,6,22
