,Quarter,Time,Tm,Detail,SDG,TEN
0,1.0,9:34,Chargers,Antonio Gates 7 yard pass from Philip Rivers (Nick Novak kick),7,0
1,2.0,13:00,Titans,Rob Bironas 20 yard field goal,7,3
2,2.0,4:47,Chargers,Nick Novak 44 yard field goal,10,3
3,2.0,1:08,Titans,Jake Locker 7 yard rush (Rob Bironas kick),10,10
4,3.0,2:42,Chargers,Ronnie Brown 1 yard rush (Nick Novak kick),17,10
5,4.0,6:07,Titans,Rob Bironas 37 yard field goal,17,13
6,4.0,0:15,Titans,Justin Hunter 34 yard pass from Jake Locker (Rob Bironas kick),17,20
