,Quarter,Time,Tm,Detail,CIN,TEN
0,1.0,13:05,Titans,Steve McNair 1 yard rush (Al Del Greco kick),0,7
1,1.0,5:29,Bengals,Corey Dillon 1 yard rush (Doug Pelfrey kick),7,7
2,1.0,0:05,Titans,Kevin Dyson 13 yard pass from Steve McNair (Al Del Greco kick),7,14
3,2.0,14:07,Titans,"Safety, Mitchell blocked Brice punt out of end zone",7,16
4,2.0,10:02,Titans,Al Del Greco 50 yard field goal,7,19
5,2.0,5:32,Titans,Kevin Dyson 47 yard pass from Steve McNair (Al Del Greco kick),7,26
6,2.0,1:55,Bengals,Ki-Jana Carter 2 yard rush (Willie Jackson pass from Jeff Blake),15,26
7,2.0,0:06,Bengals,Tony McGee 3 yard pass from Jeff Blake (run failed),21,26
8,3.0,10:37,Bengals,Willie Jackson 17 yard pass from Jeff Blake (Brian Milne pass from Jeff Blake),29,26
9,4.0,10:15,Bengals,Doug Pelfrey 33 yard field goal,32,26
10,4.0,7:56,Bengals,Doug Pelfrey 38 yard field goal,35,26
11,4.0,4:30,Titans,Eddie George 17 yard pass from Steve McNair (Al Del Greco kick),35,33
12,4.0,0:08,Titans,Al Del Greco 33 yard field goal,35,36
