,Quarter,Tm,Detail,PIT,RAM
0,1.0,Rams,Zeke Bratkowski 2 yard rush (Danny Villanueva kick),0,7
1,2.0,Steelers,Buddy Dial 20 yard pass from Rudy Bukich (Bobby Layne kick),7,7
2,2.0,Steelers,John Henry Johnson 5 yard rush (Bobby Layne kick),14,7
3,2.0,Rams,Red Phillips 15 yard pass from Frank Ryan (Danny Villanueva kick),14,14
4,4.0,Rams,Ollie Matson 96 yard pass from Frank Ryan (Danny Villanueva kick),14,21
5,4.0,Rams,Danny Villanueva 15 yard field goal,14,24
