,Quarter,Tm,Detail,DET,MIN
0,1.0,Vikings,Anthony Carter 10 yard pass from Sean Salisbury (Fuad Reveiz kick),0,7
1,1.0,Lions,Willie Clay 39 yard defensive fumble return (Jason Hanson kick),7,7
2,2.0,Lions,Jason Hanson 34 yard field goal,10,7
3,2.0,Vikings,Cris Carter 5 yard pass from Sean Salisbury (Fuad Reveiz kick),10,14
4,2.0,Lions,Jason Hanson 44 yard field goal,13,14
5,2.0,Vikings,Fuad Reveiz 48 yard field goal,13,17
6,3.0,Vikings,Robert Smith 1 yard rush (Fuad Reveiz kick),13,24
7,3.0,Vikings,Fuad Reveiz 37 yard field goal,13,27
8,4.0,Lions,Herman Moore 93 yard pass from Rodney Peete (Jason Hanson kick),20,27
9,4.0,Lions,Jason Hanson 32 yard field goal,23,27
10,4.0,Lions,Derrick Moore 1 yard rush (Jason Hanson kick),30,27
