,Quarter,Tm,Detail,DET,PIT
0,1.0,Lions,Bill Dudley 30 yard pass from Roy Zimmerman (Roy Zimmerman kick),7,0
1,2.0,Steelers,Val Jansante 15 yard pass from Walt Slater (Joe Glamp kick),7,7
2,3.0,Lions,Roy Zimmerman 18 yard field goal,10,7
3,4.0,Steelers,Joe Repko 48 yard fumble return (Joe Glamp kick),10,14
4,4.0,Steelers,Joe Glamp 35 yard field goal,10,17
