,Quarter,Time,Tm,Detail,MIA,OAK
0,1.0,,Dolphins,Olindo Mare 25 yard field goal,3,0
1,1.0,,Dolphins,Zach Thomas 1 yard interception return (Olindo Mare kick),10,0
2,1.0,,Dolphins,Oronde Gadsden 19 yard pass from Dan Marino (Olindo Mare kick),17,0
3,2.0,,Raiders,Greg Davis 40 yard field goal,17,3
4,2.0,2:44,Dolphins,Robert Jones 14 yard interception return (Olindo Mare kick),24,3
5,3.0,2:44,Raiders,Tim Brown 7 yard pass from Donald Hollas (Greg Davis kick),24,10
6,4.0,2:44,Dolphins,Olindo Mare 47 yard field goal,27,10
7,4.0,1:31,Raiders,Tim Brown 2 yard pass from Wade Wilson (Greg Davis kick),27,17
