,Quarter,Time,Tm,Detail,MIA,MIN
0,1.0,2:46,Vikings,Gary Anderson 28 yard field goal,0,3
1,4.0,11:30,Vikings,Gary Anderson 49 yard field goal,0,6
2,4.0,1:56,Vikings,Randy Moss 15 yard pass from Daunte Culpepper (Gary Anderson kick),0,13
3,4.0,1:02,Dolphins,Thurman Thomas 2 yard pass from Jay Fiedler (Olindo Mare kick),7,13
