,Quarter,Time,Tm,Detail,NWE,HOU
0,1,2:36,Texans,Kris Brown 19 yard field goal,0,3
1,2,13:12,Patriots,Bethel Johnson 27 yard pass from Tom Brady (Adam Vinatieri kick),7,3
2,2,5:55,Patriots,Adam Vinatieri 21 yard field goal,10,3
3,3,4:01,Texans,Andre Johnson 10 yard pass from Tony Banks (Kris Brown kick),10,10
4,4,14:57,Patriots,Adam Vinatieri 32 yard field goal,13,10
5,4,6:49,Texans,Billy Miller 16 yard pass from Tony Banks (Kris Brown kick),13,17
6,4,3:11,Texans,Kris Brown 31 yard field goal,13,20
7,4,0:40,Patriots,Daniel Graham 4 yard pass from Tom Brady (Adam Vinatieri kick),20,20
8,OT,0:41,Patriots,Adam Vinatieri 28 yard field goal,23,20
