,Quarter,Tm,Detail,NYG,WAS
0,1.0,Giants,Jim Poole 6 yard pass from Tuffy Leemans (Ward Cuff kick),7,0
1,2.0,Redskins,Frank Filchock 67 yard blocked punt return (Bob Masterson kick),7,7
2,3.0,Giants,Vince Dennery 65 yard pass from Andy Marefos (Andy Marefos kick),14,7
3,4.0,Redskins,Bob Masterson 10 yard field goal,14,10
4,4.0,Giants,Ward Cuff 14 yard field goal,17,10
