,Quarter,Tm,Detail,CLE,SFO
0,1.0,Browns,"Safety, intentional grounding by Montana in end zone",2,0
1,2.0,49ers,Ray Wersching 28 yard field goal,2,3
2,2.0,Browns,Matt Bahr 28 yard field goal,5,3
3,2.0,49ers,Ray Wersching 29 yard field goal,5,6
4,3.0,49ers,Ray Wersching 28 yard field goal,5,9
5,3.0,49ers,Ray Wersching 28 yard field goal,5,12
6,4.0,Browns,Reggie Rucker 21 yard pass from Brian Sipe (Matt Bahr kick),12,12
7,4.0,Browns,Matt Bahr 24 yard field goal,15,12
