,Quarter,Tm,Detail,SFO,MIA
0,1.0,49ers,Bruce Gossett 47 yard field goal,3,0
1,1.0,Dolphins,Garo Yepremian 31 yard field goal,3,3
2,2.0,Dolphins,Garo Yepremian 53 yard field goal,3,6
3,2.0,49ers,Vic Washington 3 yard rush (Bruce Gossett kick),10,6
4,3.0,49ers,Bruce Gossett 30 yard field goal,13,6
5,4.0,Dolphins,Paul Warfield 10 yard pass from Bob Griese (Garo Yepremian kick),13,13
6,4.0,Dolphins,Garo Yepremian 45 yard field goal,13,16
7,4.0,Dolphins,"Safety, Wittum tackled by C. Johnson in end zone",13,18
8,4.0,Dolphins,Garo Yepremian 22 yard field goal,13,21
