,Quarter,Tm,Detail,CLE,STL
0,2.0,Browns,Gern Nagler 20 yard pass from Milt Plum (Sam Baker kick),7,0
1,2.0,Cardinals,John David Crow 2 yard rush (Bobby Joe Conrad kick),7,7
2,2.0,Browns,Leon Clarke 2 yard pass from Milt Plum (Sam Baker kick),14,7
3,2.0,Browns,Sam Baker 42 yard field goal,17,7
4,3.0,Cardinals,Gerry Perry 23 yard field goal,17,10
5,4.0,Cardinals,Sonny Randle 12 yard pass from John Roach (Bobby Joe Conrad kick),17,17
