,Quarter,Time,Tm,Detail,OAK,WAS
0,2.0,11:07,Raiders,Cole Ford 19 yard field goal,3,0
1,2.0,11:07,Redskins,Eddie Murray 21 yard field goal,3,3
2,3.0,11:07,Redskins,Eddie Murray 43 yard field goal,3,6
3,3.0,11:07,Raiders,Cole Ford 34 yard field goal,6,6
4,3.0,11:07,Raiders,Andrew Glover 1 yard pass from Jeff Hostetler (Cole Ford kick),13,6
5,4.0,11:07,Raiders,Derrick Fenner 8 yard pass from Jeff Hostetler (Cole Ford kick),20,6
6,4.0,1:54,Redskins,"Safety, Brownlow blocked punt out of end zone",20,8
