,Quarter,Tm,Detail,NWE,OAK
0,1.0,Patriots,Andy Johnson 1 yard rush (John Smith kick),7,0
1,1.0,Raiders,Errol Mann 40 yard field goal,7,3
2,2.0,Raiders,Fred Biletnikoff 31 yard pass from Ken Stabler (Errol Mann kick),7,10
3,3.0,Patriots,Russ Francis 26 yard pass from Steve Grogan (John Smith kick),14,10
4,3.0,Patriots,Jess Phillips 3 yard rush (John Smith kick),21,10
5,4.0,Raiders,Mark van Eeghen 1 yard rush (Errol Mann kick),21,17
6,4.0,Raiders,Ken Stabler 1 yard rush (Errol Mann kick),21,24
