,Quarter,Tm,Detail,NYG,BRL
0,2.0,Giants,Jack McBride 25 yard field goal,3,0
1,3.0,Giants,Jack Hagerty 68 yard rush (Jack McBride kick),10,0
2,3.0,Giants,Doc Alexander 52 yard fumble return (Jack McBride kick),17,0
