,Quarter,Tm,Detail,RAM,ATL
0,1.0,Falcons,Tony Smith 2 yard rush (Norm Johnson kick),0,7
1,1.0,Falcons,Michael Haynes 38 yard pass from Chris Miller (Norm Johnson kick),0,14
2,2.0,Falcons,Norm Johnson 49 yard field goal,0,17
3,2.0,Rams,Cleveland Gary 3 yard pass from Jim Everett (Tony Zendejas kick),7,17
4,2.0,Falcons,Norm Johnson 26 yard field goal,7,20
5,2.0,Rams,Cleveland Gary 2 yard pass from Jim Everett (Tony Zendejas kick),14,20
6,3.0,Falcons,Norm Johnson 37 yard field goal,14,23
7,3.0,Rams,David Lang 67 yard pass from Jim Everett (Tony Zendejas kick),21,23
8,3.0,Rams,Jim Price 5 yard pass from Jim Everett (Tony Zendejas kick),28,23
9,4.0,Falcons,Michael Haynes 13 yard pass from Billy Joe Tolliver (Norm Johnson kick),28,30
