,Quarter,Tm,Detail,NOR,SFO
0,1.0,Saints,Tom Dempsey 40 yard field goal,3,0
1,1.0,49ers,Bruce Gossett 21 yard field goal,3,3
2,2.0,Saints,Tom Dempsey 24 yard field goal,6,3
3,3.0,49ers,Gene Washington 46 yard pass from John Brodie (Bruce Gossett kick),6,10
4,3.0,49ers,Bruce Gossett 48 yard field goal,6,13
5,4.0,Saints,Danny Abramowicz 7 yard pass from Billy Kilmer (Tom Dempsey kick),13,13
6,4.0,49ers,Gene Washington 9 yard pass from John Brodie (Bruce Gossett kick),13,20
7,4.0,Saints,Dave Parks 13 yard pass from Billy Kilmer (Tom Dempsey kick),20,20
