,Quarter,Tm,Detail,IND,TAM
0,2.0,Colts,Dean Biasucci 39 yard field goal,3,0
1,2.0,Buccaneers,Mark Carrier 29 yard pass from Vinny Testaverde (Steve Christie kick),3,7
2,3.0,Buccaneers,Lawrence Dawsey 9 yard rush (Steve Christie kick),3,14
3,4.0,Buccaneers,Steve Christie 28 yard field goal,3,17
