,Quarter,Tm,Detail,NOR,CHI
0,1.0,Bears,Ken Grandberry 11 yard rush (Mirro Roder kick),0,7
1,1.0,Saints,Alvin Maxson 8 yard pass from Archie Manning (Bill McClard kick),7,7
2,2.0,Bears,Gary Huff 1 yard rush (Mirro Roder kick),7,14
3,2.0,Bears,Mirro Roder 30 yard field goal,7,17
4,4.0,Saints,Bill McClard 21 yard field goal,10,17
5,4.0,Bears,Bo Rather 39 yard pass from Gary Huff (Mirro Roder kick),10,24
