,Quarter,Time,Tm,Detail,PHI,DAL
0,1.0,8:59,Eagles,Norm Johnson 44 yard field goal,3,0
1,1.0,4:49,Cowboys,Chris Warren 4 yard rush (Eddie Murray kick),3,7
2,2.0,6:50,Cowboys,Eddie Murray 30 yard field goal,3,10
3,2.0,0:00,Cowboys,Eddie Murray 34 yard field goal,3,13
4,3.0,6:10,Cowboys,David LaFleur 8 yard pass from Troy Aikman (Eddie Murray kick),3,20
5,4.0,6:41,Eagles,Na Brown 25 yard pass from Doug Pederson (Norm Johnson kick),10,20
