,Quarter,Time,Tm,Detail,WAS,NYG
0,1.0,2:53,Redskins,Adrian Peterson 7 yard pass from Alex Smith (Dustin Hopkins kick),7,0
1,2.0,1:16,Giants,Aldrick Rosas 37 yard field goal,7,3
2,3.0,4:51,Redskins,Dustin Hopkins 53 yard field goal,10,3
3,4.0,9:53,Redskins,Dustin Hopkins 39 yard field goal,13,3
4,4.0,4:08,Giants,Aldrick Rosas 21 yard field goal,13,6
5,4.0,3:06,Redskins,Adrian Peterson 64 yard rush (Dustin Hopkins kick),20,6
6,4.0,0:17,Giants,Evan Engram 2 yard pass from Eli Manning (Aldrick Rosas kick),20,13
