,Quarter,Tm,Detail,CRD,CLE
0,2.0,Browns,Chick Jagade 16 yard rush (Lou Groza kick),0,7
1,2.0,Browns,Lou Groza 37 yard field goal,0,10
2,3.0,Cardinals,Gern Nagler 5 yard pass from Jim Root (Pat Summerall kick),7,10
3,3.0,Cardinals,Jim Root 1 yard rush (Pat Summerall kick),14,10
4,4.0,Browns,Lou Groza 30 yard field goal,14,13
5,4.0,Browns,Ray Renfro 8 yard rush (Lou Groza kick),14,20
6,4.0,Cardinals,"Safety, Graham tackled in end zone by Schmidt",16,20
7,4.0,Browns,Tommy James 37 yard fumble return (Lou Groza kick),16,27
