,Quarter,Tm,Detail,MIN,SFO
0,1.0,49ers,Tommy Davis 10 yard field goal,0,3
1,1.0,Vikings,Bill Brown 8 yard pass from Joe Kapp (Fred Cox kick),7,3
2,2.0,Vikings,Joe Kapp 2 yard rush (Fred Cox kick),14,3
3,2.0,49ers,Tommy Davis 10 yard field goal,14,6
4,2.0,Vikings,Fred Cox 29 yard field goal,17,6
5,3.0,Vikings,Joe Kapp 5 yard rush (Fred Cox kick),24,6
6,4.0,Vikings,Fred Cox 21 yard field goal,27,6
7,4.0,49ers,Bill Tucker 43 yard pass from Clifton McNeil (Tommy Davis kick),27,13
8,4.0,49ers,Gary Lewis 13 yard pass from John Brodie (Tommy Davis kick),27,20
9,4.0,Vikings,Fred Cox 13 yard field goal,30,20
