,Quarter,Tm,Detail,CHI,HOU
0,2.0,Bears,Dennis Gentry 21 yard rush (Kevin Butler kick),7,0
1,3.0,Bears,Walter Payton 1 yard rush (Kevin Butler kick),14,0
2,3.0,Oilers,Drew Hill 18 yard pass from Warren Moon (Tony Zendejas kick),14,7
3,4.0,Bears,Kevin Butler 31 yard field goal,17,7
4,4.0,Bears,Kevin Butler 27 yard field goal,20,7
