,Quarter,Tm,Detail,BUF,NYJ
0,1.0,Jets,Brad Baxter 1 yard rush (Cary Blanchard kick),0,7
1,2.0,Bills,Steve Christie 37 yard field goal,3,7
2,2.0,Bills,Steve Christie 33 yard field goal,6,7
3,3.0,Bills,Darryl Talley 61 yard interception return (Steve Christie kick),13,7
4,4.0,Bills,Steve Christie 22 yard field goal,16,7
5,4.0,Jets,Cary Blanchard 33 yard field goal,16,10
6,4.0,Bills,Steve Christie 30 yard field goal,19,10
