,Quarter,Tm,Detail,CRD,WAS
0,1.0,Cardinals,Frank Bernardi 95 yard punt return (Pat Summerall kick),7,0
1,2.0,Cardinals,Jim Root 1 yard rush (Pat Summerall kick),14,0
2,3.0,Redskins,Sam Baker 19 yard field goal,14,3
3,3.0,Cardinals,Ollie Matson 105 yard kickoff return (Pat Summerall kick),21,3
4,4.0,Cardinals,Pat Summerall 23 yard field goal,24,3
5,4.0,Cardinals,Alex Burl 19 yard pass from Lamar McHan (Pat Summerall kick),31,3
