,Quarter,Time,Tm,Detail,WAS,SFO
0,1.0,9:44,49ers,Kevan Barlow 7 yard rush (Jose Cortez kick),0,7
1,2.0,14:24,Redskins,James Tuthill 33 yard field goal,3,7
2,2.0,9:16,49ers,Terrell Owens 38 yard rush (Jose Cortez kick),3,14
3,2.0,3:02,Redskins,Zeron Flemister 19 yard pass from Shane Matthews (James Tuthill kick),10,14
4,2.0,0:00,49ers,Jose Cortez 33 yard field goal,10,17
5,3.0,2:12,49ers,Jose Cortez 35 yard field goal,10,20
