,Quarter,Tm,Detail,DEN,OAK
0,1.0,Broncos,Jim Turner 21 yard field goal,3,0
1,1.0,Raiders,Errol Mann 23 yard field goal,3,3
2,1.0,Broncos,Jim Turner 28 yard field goal,6,3
3,3.0,Raiders,Errol Mann 36 yard field goal,6,6
4,4.0,Raiders,Fred Biletnikoff 31 yard pass from Ken Stabler (Errol Mann kick),6,13
5,4.0,Raiders,Clarence Davis 7 yard rush,6,19
