,Quarter,Tm,Detail,HOU,CIN
0,1.0,Bengals,Jim Breech 32 yard field goal,0,3
1,1.0,Oilers,Jamie Williams 7 yard pass from Warren Moon (Tony Zendejas kick),7,3
2,2.0,Bengals,Jim Breech 33 yard field goal,7,6
3,2.0,Bengals,Jim Breech 26 yard field goal,7,9
4,3.0,Bengals,Eddie Brown 47 yard pass from Boomer Esiason (Jim Breech kick),7,16
5,3.0,Oilers,Curtis Duncan 16 yard pass from Warren Moon (Tony Zendejas kick),14,16
6,4.0,Bengals,Jim Breech 39 yard field goal,14,19
7,4.0,Bengals,Jim Breech 32 yard field goal,14,22
8,4.0,Bengals,Anthony Munoz 3 yard pass from Boomer Esiason (Jim Breech kick),14,29
9,4.0,Oilers,Tony Zendejas 47 yard field goal,17,29
10,4.0,Oilers,Spencer Tillman 1 yard rush (Tony Zendejas kick),24,29
11,4.0,Oilers,Warren Moon 1 yard rush (Tony Zendejas kick),31,29
