,Quarter,Tm,Detail,CRD,PRT
0,2,Spartans,John Cavosie 1 yard rush (Dutch Clark kick),0,7
1,3,Cardinals,Tim Moynihan blocked punt recovery in end zone (Joe Lillard kick),7,7
