,Quarter,Tm,Detail,CHI,SFO
0,1.0,Bears,Bob Thomas 32 yard field goal,3,0
1,1.0,49ers,O.J. Simpson 8 yard pass from Steve DeBerg (Ray Wersching kick),3,7
2,2.0,Bears,Bob Thomas 44 yard field goal,6,7
3,2.0,49ers,Ray Wersching 44 yard field goal,6,10
4,3.0,Bears,Bob Thomas 38 yard field goal,9,10
5,4.0,49ers,Ray Wersching 27 yard field goal,9,13
6,4.0,Bears,Roland Harper 1 yard rush (Bob Thomas kick),16,13
