,Quarter,Tm,Detail,HOU,MIA
0,2.0,Dolphins,Mark Clayton 27 yard pass from Dan Marino (Uwe von Schamann kick),0,7
1,3.0,Dolphins,Mark Duper 17 yard pass from Dan Marino (Uwe von Schamann kick),0,14
2,3.0,Oilers,Florian Kempf 49 yard field goal,3,14
3,4.0,Dolphins,Nat Moore 32 yard pass from Dan Marino (Uwe von Schamann kick),3,21
4,4.0,Dolphins,Joe Carter 25 yard rush (Uwe von Schamann kick),3,28
5,4.0,Oilers,Chris Dressel 9 yard pass from Warren Moon (Florian Kempf kick),10,28
