,Quarter,Tm,Detail,SEA,SDG
0,1.0,Seahawks,Steve Largent 11 yard pass from Dave Krieg (Norm Johnson kick),7,0
1,2.0,Seahawks,Norm Johnson 42 yard field goal,10,0
2,2.0,Seahawks,Steve Largent 13 yard pass from Dave Krieg (Norm Johnson kick),17,0
3,3.0,Seahawks,Steve Largent 16 yard pass from Dave Krieg (Norm Johnson kick),24,0
