,Quarter,Time,Tm,Detail,DEN,KAN
0,2.0,11:34,Broncos,Jason Elam 50 yard field goal,3,0
1,2.0,2:54,Chiefs,Pete Stoyanovich 19 yard field goal,3,3
2,2.0,0:00,Chiefs,Pete Stoyanovich 42 yard field goal,3,6
3,3.0,9:16,Chiefs,Tony Richardson 1 yard rush (Pete Stoyanovich kick),3,13
4,3.0,6:14,Chiefs,Pete Stoyanovich 44 yard field goal,3,16
5,4.0,14:58,Broncos,Terrell Davis 1 yard rush (Jason Elam kick),10,16
6,4.0,9:25,Chiefs,Bam Morris 5 yard rush (Pete Stoyanovich kick),10,23
7,4.0,2:14,Chiefs,Pete Stoyanovich 27 yard field goal,10,26
