,Quarter,Tm,Detail,RAM,PHI
0,1.0,Rams,John Cappelletti 1 yard rush (Tom Dempsey kick),7,0
1,2.0,Rams,Harold Jackson 54 yard pass from James Harris (Tom Dempsey kick),14,0
2,2.0,Eagles,Horst Muhlmann 36 yard field goal,14,3
3,2.0,Rams,Harold Jackson 30 yard pass from James Harris (Tom Dempsey kick),21,3
4,3.0,Rams,Jack Snow 42 yard pass from James Harris (Tom Dempsey kick),28,3
5,3.0,Rams,Fred Dryer 20 yard defensive fumble return (Tom Dempsey kick),35,3
6,4.0,Rams,Isiah Robertson 76 yard interception return (Tom Dempsey kick),42,3
