,Quarter,Time,Tm,Detail,MIA,NWE
0,2.0,13:17,Patriots,Cam Newton 4 yard rush (Nick Folk kick),0,7
1,2.0,3:57,Dolphins,Jason Sanders 46 yard field goal,3,7
2,3.0,10:21,Patriots,Cam Newton 11 yard rush (Nick Folk kick),3,14
3,4.0,10:35,Dolphins,Jordan Howard 1 yard rush (Ryan Fitzpatrick run),11,14
4,4.0,5:26,Patriots,Sony Michel 1 yard rush (Nick Folk kick),11,21
