,Quarter,Tm,Detail,NYG,GNB
0,1,Giants,Ken Strong 39 yard field goal,3,0
1,2,Giants,Dale Burnett 19 yard pass from Harry Newman (Harry Newman kick),10,0
2,4,Packers,Johnny Blood 30 yard pass from Bob Monnett (Bob Monnett kick),10,7
