,Quarter,Tm,Detail,SDG,CIN
0,1.0,Chargers,Mike Thomas 7 yard rush (Rolf Benirschke kick),7,0
1,1.0,Chargers,Rolf Benirschke 40 yard field goal,10,0
2,2.0,Chargers,Kellen Winslow 11 yard pass from Dan Fouts (Rolf Benirschke kick),17,0
3,2.0,Bengals,Don Bass 11 yard pass from Ken Anderson (Ian Sunter kick),17,7
4,3.0,Chargers,John Jefferson 9 yard pass from Dan Fouts (Rolf Benirschke kick),24,7
5,3.0,Chargers,John Jefferson 16 yard pass from Dan Fouts (Rolf Benirschke kick),31,7
6,4.0,Bengals,Deacon Turner 15 yard pass from Jack Thompson (Ian Sunter kick),31,14
