,Quarter,Tm,Detail,HOU,PIT
0,1.0,Oilers,Ward Walsh special teams fumble recovery in end zone (Skip Butler kick),7,0
1,2.0,Steelers,Roy Gerela 28 yard field goal,7,3
2,2.0,Steelers,Franco Harris 1 yard rush (Roy Gerela kick),7,10
3,3.0,Steelers,Frank Lewis 11 yard pass from Terry Bradshaw (Roy Gerela kick),7,17
4,4.0,Steelers,Terry Bradshaw 8 yard rush (Roy Gerela kick),7,24
