,Quarter,Tm,Detail,NWE,BAL
0,1.0,Patriots,Allen Carter 99 yard kickoff return (John Smith kick),7,0
1,1.0,Colts,Bert Jones 8 yard rush (Toni Linhart kick),7,7
2,2.0,Colts,Toni Linhart 19 yard field goal,7,10
3,2.0,Patriots,Sam Cunningham 7 yard pass from Steve Grogan (John Smith kick),14,10
4,3.0,Colts,Raymond Chester 20 yard pass from Bert Jones (Toni Linhart kick),14,17
5,3.0,Colts,Toni Linhart 31 yard field goal,14,20
6,4.0,Patriots,Steve Grogan 1 yard rush (John Smith kick),21,20
7,4.0,Colts,Lydell Mitchell 11 yard rush (Toni Linhart kick),21,27
8,4.0,Colts,Nelson Munsey 30 yard interception return (Toni Linhart kick),21,34
