,Quarter,Time,Tm,Detail,BUF,IND
0,1.0,12:50,Bills,Nate Clements 48 yard interception return (Jake Arians kick),7,0
1,1.0,5:12,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),7,7
2,1.0,1:35,Colts,Jerome Pathon 60 yard pass from Peyton Manning (Mike Vanderjagt kick),7,14
3,2.0,12:00,Bills,Travis Henry 4 yard rush (Jake Arians kick),14,14
4,2.0,11:19,Colts,Marvin Harrison 39 yard pass from Peyton Manning (Mike Vanderjagt kick),14,21
5,2.0,9:11,Colts,Marvin Harrison 39 yard pass from Peyton Manning (Mike Vanderjagt kick),14,28
6,2.0,4:13,Bills,Jake Arians 48 yard field goal,17,28
7,2.0,1:00,Colts,Marvin Harrison 7 yard pass from Peyton Manning (Mike Vanderjagt kick),17,35
8,3.0,10:35,Bills,Jake Arians 49 yard field goal,20,35
9,3.0,5:57,Colts,Peyton Manning 1 yard rush (Mike Vanderjagt kick),20,42
10,4.0,1:25,Bills,Peerless Price 40 yard pass from Rob Johnson (pass failed),26,42
