,Quarter,Time,Tm,Detail,JAX,CLE
0,1.0,6:12,Jaguars,Jimmy Smith 4 yard pass from Mark Brunell (Mike Hollis kick failed),6,0
1,1.0,3:37,Jaguars,Mike Hollis 43 yard field goal,9,0
2,3.0,2:28,Browns,Anthony Henry 97 yard interception return (Phil Dawson kick),9,7
3,4.0,12:20,Jaguars,Mike Hollis 46 yard field goal,12,7
4,4.0,8:09,Browns,Phil Dawson 29 yard field goal,12,10
5,4.0,2:57,Jaguars,Mike Hollis 37 yard field goal,15,10
