,Quarter,Time,Tm,Detail,SDG,KAN
0,1.0,,Chiefs,Elvis Grbac 1 yard rush (Pete Stoyanovich kick),0,7
1,2.0,,Chiefs,Andre Rison 10 yard pass from Elvis Grbac (Pete Stoyanovich kick),0,14
2,2.0,,Chiefs,Andre Rison 5 yard pass from Elvis Grbac (Pete Stoyanovich kick),0,21
3,2.0,,Chiefs,Pete Stoyanovich 45 yard field goal,0,24
4,3.0,,Chargers,Greg Davis 26 yard field goal,3,24
5,4.0,,Chiefs,Marcus Allen 6 yard rush (Pete Stoyanovich kick),3,31
