,Quarter,Tm,Detail,MIN,DET
0,1.0,Vikings,Fred Cox 30 yard field goal,3,0
1,3.0,Lions,Wayne Walker 33 yard field goal,3,3
2,3.0,Lions,Wayne Walker 28 yard field goal,3,6
3,3.0,Vikings,Jim Lindsey 2 yard rush (Fred Cox kick),10,6
4,4.0,Vikings,Fred Cox 27 yard field goal,13,6
