,Quarter,Tm,Detail,DET,GNB
0,1.0,Packers,Jerry Kramer 24 yard field goal,0,3
1,2.0,Packers,Jim Taylor 1 yard rush (Jerry Kramer kick),0,10
2,3.0,Lions,Wayne Walker 36 yard field goal,3,10
3,3.0,Packers,Tom Moore 15 yard rush (Jerry Kramer kick),3,17
4,4.0,Lions,Tom Hall 23 yard pass from Milt Plum (Wayne Walker kick),10,17
5,4.0,Packers,Tom Moore 77 yard rush (Jerry Kramer kick),10,24
6,4.0,Packers,Max McGee 39 yard pass from Bart Starr (Jerry Kramer kick),10,31
