,Quarter,Tm,Detail,RAM,TAM
0,2.0,Rams,Frank Corral 19 yard field goal,3,0
1,2.0,Rams,Frank Corral 21 yard field goal,6,0
2,4.0,Rams,Frank Corral 23 yard field goal,9,0
