,Quarter,Tm,Detail,SEA,SDG
0,1.0,Chargers,Anthony Miller 67 yard pass from Stan Humphries (John Carney kick),0,7
1,1.0,Chargers,John Carney 49 yard field goal,0,10
2,2.0,Seahawks,John Kasay 27 yard field goal,3,10
3,2.0,Chargers,Anthony Miller 5 yard pass from Stan Humphries (John Carney kick),3,17
4,3.0,Seahawks,John Kasay 29 yard field goal,6,17
