,Quarter,Tm,Detail,RAI,DEN
0,1.0,Broncos,Joe Dudek 7 yard rush (Mike Clendenen kick),0,7
1,1.0,Broncos,Joe Dudek 3 yard rush (Mike Clendenen kick),0,14
2,2.0,Raiders,Mario Perry 3 yard pass from Vince Evans (David Hardy kick),7,14
3,2.0,Raiders,Rick Calhoun 55 yard punt return (David Hardy kick),14,14
4,2.0,Broncos,Mike Clendenen 31 yard field goal,14,17
5,3.0,Broncos,Rick Massie 10 yard pass from Ken Karcher,14,23
6,4.0,Broncos,Nathan Poole 1 yard rush (Mike Clendenen kick),14,30
