,Quarter,Time,Tm,Detail,JAX,BAL
0,1.0,11:52,Ravens,Kamar Aiken 11 yard blocked punt return (Justin Tucker kick),0,7
1,1.0,9:33,Jaguars,Josh Scobee 53 yard field goal,3,7
2,1.0,1:18,Jaguars,Josh Scobee 45 yard field goal,6,7
3,2.0,11:33,Jaguars,Josh Scobee 53 yard field goal,9,7
4,2.0,3:45,Ravens,Justin Tucker 22 yard field goal,9,10
5,2.0,0:04,Jaguars,Josh Scobee 45 yard field goal,12,10
6,3.0,8:34,Ravens,Owen Daniels 3 yard pass from Joe Flacco (Justin Tucker kick),12,17
7,4.0,1:11,Ravens,Justin Tucker 33 yard field goal,12,20
