,Quarter,Time,Tm,Detail,CIN,IND
0,1.0,11:05,Colts,Dan Herron 2 yard rush (Adam Vinatieri kick),0,7
1,1.0,1:28,Bengals,Jeremy Hill 1 yard rush (Mike Nugent kick),7,7
2,2.0,12:41,Colts,Adam Vinatieri 38 yard field goal,7,10
3,2.0,8:34,Colts,Adam Vinatieri 29 yard field goal,7,13
4,2.0,0:10,Bengals,Mike Nugent 57 yard field goal,10,13
5,3.0,7:48,Colts,Donte Moncrief 36 yard pass from Andrew Luck (Adam Vinatieri kick),10,20
6,3.0,1:31,Colts,Adam Vinatieri 22 yard field goal,10,23
7,4.0,11:31,Colts,Adam Vinatieri 53 yard field goal,10,26
