,Quarter,Time,Tm,Detail,IND,PIT
0,1.0,9:07,Steelers,Mewelde Moore 1 yard rush (Jeff Reed kick),0,7
1,1.0,7:41,Colts,Reggie Wayne 65 yard pass from Peyton Manning (Adam Vinatieri kick),7,7
2,2.0,13:21,Steelers,Mewelde Moore 1 yard rush (Jeff Reed kick),7,14
3,2.0,4:18,Steelers,Jeff Reed 42 yard field goal,7,17
4,2.0,0:06,Colts,Dallas Clark 2 yard pass from Peyton Manning (Adam Vinatieri kick),14,17
5,3.0,8:14,Colts,Adam Vinatieri 36 yard field goal,17,17
6,4.0,7:57,Steelers,Jeff Reed 24 yard field goal,17,20
7,4.0,3:04,Colts,Dominic Rhodes 17 yard pass from Peyton Manning (Adam Vinatieri kick),24,20
