,Quarter,Tm,Detail,CHI,DET
0,1.0,Bears,Kevin Butler 25 yard field goal,3,0
1,1.0,Lions,Eddie Murray 42 yard field goal,3,3
2,2.0,Bears,Kevin Butler 24 yard field goal,6,3
3,3.0,Bears,Dennis Gentry 94 yard kickoff return (Kevin Butler kick),13,3
4,3.0,Bears,Kevin Butler 21 yard field goal,16,3
5,3.0,Lions,David Lewis 2 yard pass from Eric Hipple (Eddie Murray kick),16,10
6,4.0,Bears,Jim McMahon 14 yard rush (Kevin Butler kick),23,10
7,4.0,Bears,Ron Rivera 5 yard defensive fumble return (Kevin Butler kick),30,10
8,4.0,Lions,James Jones 2 yard rush (Eddie Murray kick),30,17
9,4.0,Bears,Ken Margerum 11 yard pass from Jim McMahon (Kevin Butler kick),37,17
