,Quarter,Tm,Detail,CLE,DEN
0,1.0,Browns,Matt Bahr 47 yard field goal,3,0
1,2.0,Broncos,Sammy Winder 3 yard rush (Rich Karlis kick),3,7
2,2.0,Broncos,Clint Sampson 39 yard pass from John Elway (Rich Karlis kick),3,14
3,2.0,Broncos,Clint Sampson 49 yard pass from John Elway (Rich Karlis kick),3,21
4,2.0,Browns,Steve Cox 58 yard field goal,6,21
5,3.0,Broncos,Rich Karlis 20 yard field goal,6,24
6,4.0,Broncos,Rich Karlis 50 yard field goal,6,27
