,Quarter,Time,Tm,Detail,NWE,ATL
0,2,12:15,Falcons,Devonta Freeman 5 yard rush (Matt Bryant kick),0,7
1,2,8:48,Falcons,Austin Hooper 19 yard pass from Matt Ryan (Matt Bryant kick),0,14
2,2,2:21,Falcons,Robert Alford 82 yard interception return (Matt Bryant kick),0,21
3,2,0:02,Patriots,Stephen Gostkowski 41 yard field goal,3,21
4,3,8:31,Falcons,Tevin Coleman 6 yard pass from Matt Ryan (Matt Bryant kick),3,28
5,3,2:06,Patriots,James White 5 yard pass from Tom Brady (Stephen Gostkowski kick failed),9,28
6,4,9:44,Patriots,Stephen Gostkowski 33 yard field goal,12,28
7,4,5:56,Patriots,Danny Amendola 6 yard pass from Tom Brady (James White run),20,28
8,4,0:57,Patriots,James White 1 yard rush (Danny Amendola pass from Tom Brady ),28,28
9,OT,11:02,Patriots,James White 2 yard rush,34,28
